hr,power_norm
169,0.66770494
170,0.939647408
171,0.949501665
172,0.795331176
173,0.996730216
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,0.998602804
184,0.996287696
185,0.997905858
186,0.998244961
187,0.999856059
188,0.999969999
189,1
190,0.999978971
191,0.999560324
192,0.990269454
193,0.81064529
194,0.630531148
195,0.967750859
196,0.999902113
197,0.994287348
198,0.850969474
199,0.526925512
200,0.588412305
201,0.905538738
202,0.973486916
203,0.888092049
204,0.783933552
205,0.772324395
206,0.605256995
207,0.450151358
208,0.382553691
209,0.346297767
210,0.241183461
211,0.098410168
212,0.049504143
213,0.028652241
214,0.006955704
215,0.002346222
216,0.00118743
217,0.001425135
218,0
219,0.00028053
220,0.000117258
221,4.83E-05
222,0.001914411
223,0.010094479
224,0.009552193
225,0.001412883
226,0.001450589
227,0.005663083
228,0.009530333
229,0.003538345
230,0.002728751
231,0.001245711
232,0
233,0
234,0
235,0
236,0
237,0
238,0.000822856
239,0.000175104
240,0
241,9.10E-05
242,0.017925228
243,0.073360392
244,0.181775825
245,0.299482548
246,0.319239634
247,0.296868374
248,0.37213556
249,0.425843793
250,0.442350896
251,0.50541923
252,0.464403562
253,0.520325279
254,0.526468682
255,0.365744166
256,0.254497419
257,0.371827469
258,0.490904073
259,0.374074521
260,0.262460816
261,0.187326978
262,0.360338219
263,0.660607334
264,0.496801619
265,0.355309612
266,0.292101494
267,0.276706815
268,0.198862235
269,0.152798073
270,0.125825463
271,0.137628975
272,0.046243729
273,0.079797785
274,0.15261115
275,0.187738915
276,0.251967133
277,0.342630845
278,0.424984421
279,0.462569729
280,0.496658611
281,0.62549241
282,0.642540836
283,0.575674756
284,0.410789508
285,0.377708803
286,0.589102598
287,0.861227961
288,0.84791892
289,0.851605805
290,0.808929364
291,0.871935717
292,0.870645909
293,0.753175207
294,0.86048003
295,0.857403803
296,0.851277033
297,0.894638371
298,0.92278649
299,0.954950476
300,0.94208169
301,0.928942712
302,0.951961549
