,datetime,load_area,mkt_region,zone,mw,dt,md,wday,mw_norm
83,1/1/24 2:00,PN,MIDATL,PN,1576.88,2024-01-01 02:00:00,"(1, 1)",Monday,-2.1180099992804284
84,1/1/24 2:00,PS,MIDATL,PS,4015.627,2024-01-01 02:00:00,"(1, 1)",Monday,-1.488801949412158
85,1/1/24 2:00,RECO,MIDATL,RECO,125.078,2024-01-01 02:00:00,"(1, 1)",Monday,-1.5226794631777518
86,1/1/24 2:00,SMECO,MIDATL,PEP,431.828,2024-01-01 02:00:00,"(1, 1)",Monday,-0.4338741812712181
87,1/1/24 2:00,UGI,MIDATL,PL,103.68,2024-01-01 02:00:00,"(1, 1)",Monday,-1.796231931680949
88,1/1/24 2:00,VMEU,MIDATL,AE,62.689,2024-01-01 02:00:00,"(1, 1)",Monday,-1.4218451339104101
89,1/1/24 2:00,RTO,RTO,RTO,79662.671,2024-01-01 02:00:00,"(1, 1)",Monday,-1.4357839242672228
90,1/1/24 3:00,AECO,MIDATL,AE,863.023,2024-01-01 03:00:00,"(1, 1)",Monday,-0.9122699024184098
91,1/1/24 3:00,AEPAPT,WEST,AEP,4250.125,2024-01-01 03:00:00,"(1, 1)",Monday,-0.8063996030092332
92,1/1/24 3:00,AEPIMP,WEST,AEP,2460.641,2024-01-01 03:00:00,"(1, 1)",Monday,-2.370609323299916
93,1/1/24 3:00,AEPKPT,WEST,AEP,683.528,2024-01-01 03:00:00,"(1, 1)",Monday,-0.5460149472556454
94,1/1/24 3:00,AEPOPT,WEST,AEP,5848.448,2024-01-01 03:00:00,"(1, 1)",Monday,-1.551960724945662
95,1/1/24 3:00,AP,WEST,AP,5074.489,2024-01-01 03:00:00,"(1, 1)",Monday,-1.4183925834942321
96,1/1/24 3:00,BC,MIDATL,BC,3008.238,2024-01-01 03:00:00,"(1, 1)",Monday,-1.2834709746349224
97,1/1/24 3:00,CE,WEST,CE,8811.101,2024-01-01 03:00:00,"(1, 1)",Monday,-1.4671780432758403
98,1/1/24 3:00,DAY,WEST,DAY,1651.0,2024-01-01 03:00:00,"(1, 1)",Monday,-1.5833711701798248
99,1/1/24 3:00,DEOK,WEST,DEOK,2623.738,2024-01-01 03:00:00,"(1, 1)",Monday,-1.0850383075522658
100,1/1/24 3:00,DOM,SOUTH,DOM,13302.83,2024-01-01 03:00:00,"(1, 1)",Monday,-0.6746839008896918
101,1/1/24 3:00,DPLCO,MIDATL,DPL,1876.569,2024-01-01 03:00:00,"(1, 1)",Monday,-1.0704647347560454
102,1/1/24 3:00,DUQ,WEST,DUQ,1297.889,2024-01-01 03:00:00,"(1, 1)",Monday,-1.6154006315257434
103,1/1/24 3:00,EASTON,MIDATL,DPL,27.617,2024-01-01 03:00:00,"(1, 1)",Monday,-0.8509172582247531
104,1/1/24 3:00,EKPC,WEST,EKPC,1789.212,2024-01-01 03:00:00,"(1, 1)",Monday,-0.3342615907756383
105,1/1/24 3:00,JC,MIDATL,JC,1990.227,2024-01-01 03:00:00,"(1, 1)",Monday,-1.5059452457331037
106,1/1/24 3:00,ME,MIDATL,ME,1350.567,2024-01-01 03:00:00,"(1, 1)",Monday,-2.3132520219110715
107,1/1/24 3:00,OE,WEST,ATSI,5670.543,2024-01-01 03:00:00,"(1, 1)",Monday,-2.293425870549884
109,1/1/24 3:00,PAPWR,WEST,ATSI,402.834,2024-01-01 03:00:00,"(1, 1)",Monday,-2.5894899964004336
110,1/1/24 3:00,PE,MIDATL,PE,3598.126,2024-01-01 03:00:00,"(1, 1)",Monday,-1.693270134895019
111,1/1/24 3:00,PEPCO,MIDATL,PEP,2283.633,2024-01-01 03:00:00,"(1, 1)",Monday,-1.3367396964883729
112,1/1/24 3:00,PLCO,MIDATL,PL,3770.495,2024-01-01 03:00:00,"(1, 1)",Monday,-2.0029294576565118
113,1/1/24 3:00,PN,MIDATL,PN,1559.752,2024-01-01 03:00:00,"(1, 1)",Monday,-2.1915409535707466
114,1/1/24 3:00,PS,MIDATL,PS,3956.223,2024-01-01 03:00:00,"(1, 1)",Monday,-1.5985901493846142
115,1/1/24 3:00,RECO,MIDATL,RECO,123.211,2024-01-01 03:00:00,"(1, 1)",Monday,-1.6298370163504692
116,1/1/24 3:00,SMECO,MIDATL,PEP,425.801,2024-01-01 03:00:00,"(1, 1)",Monday,-0.4899175133402401
117,1/1/24 3:00,UGI,MIDATL,PL,101.836,2024-01-01 03:00:00,"(1, 1)",Monday,-1.8942228526059695
118,1/1/24 3:00,VMEU,MIDATL,AE,61.963,2024-01-01 03:00:00,"(1, 1)",Monday,-1.4957257947563338
119,1/1/24 3:00,RTO,RTO,RTO,78897.659,2024-01-01 03:00:00,"(1, 1)",Monday,-1.5048196401860359
120,1/1/24 4:00,AECO,MIDATL,AE,856.91,2024-01-01 04:00:00,"(1, 1)",Monday,-0.9537665836860655
121,1/1/24 4:00,AEPAPT,WEST,AEP,4302.126,2024-01-01 04:00:00,"(1, 1)",Monday,-0.7444996781070732
122,1/1/24 4:00,AEPIMP,WEST,AEP,2468.237,2024-01-01 04:00:00,"(1, 1)",Monday,-2.3457626244977012
123,1/1/24 4:00,AEPKPT,WEST,AEP,690.048,2024-01-01 04:00:00,"(1, 1)",Monday,-0.5015227017402841
124,1/1/24 4:00,AEPOPT,WEST,AEP,5932.208,2024-01-01 04:00:00,"(1, 1)",Monday,-1.444175718413699
125,1/1/24 4:00,AP,WEST,AP,5140.434,2024-01-01 04:00:00,"(1, 1)",Monday,-1.3367699776993565
126,1/1/24 4:00,BC,MIDATL,BC,3040.585,2024-01-01 04:00:00,"(1, 1)",Monday,-1.2247117549517723
127,1/1/24 4:00,CE,WEST,CE,8762.563,2024-01-01 04:00:00,"(1, 1)",Monday,-1.5049479337560892
128,1/1/24 4:00,DAY,WEST,DAY,1653.0,2024-01-01 04:00:00,"(1, 1)",Monday,-1.5760875653484345
129,1/1/24 4:00,DEOK,WEST,DEOK,2642.021,2024-01-01 04:00:00,"(1, 1)",Monday,-1.0424463521058285
130,1/1/24 4:00,DOM,SOUTH,DOM,13453.881,2024-01-01 04:00:00,"(1, 1)",Monday,-0.5952138067122105
131,1/1/24 4:00,DPLCO,MIDATL,DPL,1904.183,2024-01-01 04:00:00,"(1, 1)",Monday,-0.9947159557939237
132,1/1/24 4:00,DUQ,WEST,DUQ,1311.702,2024-01-01 04:00:00,"(1, 1)",Monday,-1.5200060101629604
133,1/1/24 4:00,EASTON,MIDATL,DPL,27.929,2024-01-01 04:00:00,"(1, 1)",Monday,-0.80221185515291
134,1/1/24 4:00,EKPC,WEST,EKPC,1776.374,2024-01-01 04:00:00,"(1, 1)",Monday,-0.36104278590631766
135,1/1/24 4:00,JC,MIDATL,JC,1997.857,2024-01-01 04:00:00,"(1, 1)",Monday,-1.4826544596199964
136,1/1/24 4:00,ME,MIDATL,ME,1357.008,2024-01-01 04:00:00,"(1, 1)",Monday,-2.285119311413674
137,1/1/24 4:00,OE,WEST,ATSI,5773.709,2024-01-01 04:00:00,"(1, 1)",Monday,-2.151307747155498
139,1/1/24 4:00,PAPWR,WEST,ATSI,409.039,2024-01-01 04:00:00,"(1, 1)",Monday,-2.5026186315968215
140,1/1/24 4:00,PE,MIDATL,PE,3635.3,2024-01-01 04:00:00,"(1, 1)",Monday,-1.6262413192863159
141,1/1/24 4:00,PEPCO,MIDATL,PEP,2287.363,2024-01-01 04:00:00,"(1, 1)",Monday,-1.3280540906808327
142,1/1/24 4:00,PLCO,MIDATL,PL,3789.71,2024-01-01 04:00:00,"(1, 1)",Monday,-1.9719057132060511
143,1/1/24 4:00,PN,MIDATL,PN,1562.708,2024-01-01 04:00:00,"(1, 1)",Monday,-2.178850767858335
144,1/1/24 4:00,PS,MIDATL,PS,3941.314,2024-01-01 04:00:00,"(1, 1)",Monday,-1.6261443927586186
145,1/1/24 4:00,RECO,MIDATL,RECO,122.933,2024-01-01 04:00:00,"(1, 1)",Monday,-1.6457929883815428
146,1/1/24 4:00,SMECO,MIDATL,PEP,428.814,2024-01-01 04:00:00,"(1, 1)",Monday,-0.46190049666130106
147,1/1/24 4:00,UGI,MIDATL,PL,102.133,2024-01-01 04:00:00,"(1, 1)",Monday,-1.878440150049174
148,1/1/24 4:00,VMEU,MIDATL,AE,62.037,2024-01-01 04:00:00,"(1, 1)",Monday,-1.488195259077824
149,1/1/24 4:00,RTO,RTO,RTO,79469.126,2024-01-01 04:00:00,"(1, 1)",Monday,-1.4532496864219426
150,1/1/24 5:00,AECO,MIDATL,AE,866.286,2024-01-01 05:00:00,"(1, 1)",Monday,-0.8901197844769152
151,1/1/24 5:00,AEPAPT,WEST,AEP,4416.696,2024-01-01 05:00:00,"(1, 1)",Monday,-0.6081201008673964
152,1/1/24 5:00,AEPIMP,WEST,AEP,2472.701,2024-01-01 05:00:00,"(1, 1)",Monday,-2.3311607730689117
153,1/1/24 5:00,AEPKPT,WEST,AEP,705.166,2024-01-01 05:00:00,"(1, 1)",Monday,-0.3983580134425486
154,1/1/24 5:00,AEPOPT,WEST,AEP,6033.079,2024-01-01 05:00:00,"(1, 1)",Monday,-1.3143717380664481
155,1/1/24 5:00,AP,WEST,AP,5254.609,2024-01-01 05:00:00,"(1, 1)",Monday,-1.1954512876299066
156,1/1/24 5:00,BC,MIDATL,BC,3128.855,2024-01-01 05:00:00,"(1, 1)",Monday,-1.0643668598631517
157,1/1/24 5:00,CE,WEST,CE,8786.255,2024-01-01 05:00:00,"(1, 1)",Monday,-1.4865119816101826
158,1/1/24 5:00,DAY,WEST,DAY,1674.0,2024-01-01 05:00:00,"(1, 1)",Monday,-1.4996097146188379
159,1/1/24 5:00,DEOK,WEST,DEOK,2680.112,2024-01-01 05:00:00,"(1, 1)",Monday,-0.9537098113351556
160,1/1/24 5:00,DOM,SOUTH,DOM,13729.76,2024-01-01 05:00:00,"(1, 1)",Monday,-0.45006991417532244
161,1/1/24 5:00,DPLCO,MIDATL,DPL,1949.476,2024-01-01 05:00:00,"(1, 1)",Monday,-0.8704713897936562
162,1/1/24 5:00,DUQ,WEST,DUQ,1329.355,2024-01-01 05:00:00,"(1, 1)",Monday,-1.3980917807473956
163,1/1/24 5:00,EASTON,MIDATL,DPL,28.525,2024-01-01 05:00:00,"(1, 1)",Monday,-0.709172046720799
164,1/1/24 5:00,EKPC,WEST,EKPC,1844.975,2024-01-01 05:00:00,"(1, 1)",Monday,-0.2179350769828297
165,1/1/24 5:00,JC,MIDATL,JC,2030.768,2024-01-01 05:00:00,"(1, 1)",Monday,-1.3821927215114131
166,1/1/24 5:00,ME,MIDATL,ME,1384.858,2024-01-01 05:00:00,"(1, 1)",Monday,-2.1634773323184238
167,1/1/24 5:00,OE,WEST,ATSI,5903.613,2024-01-01 05:00:00,"(1, 1)",Monday,-1.9723562253224876
169,1/1/24 5:00,PAPWR,WEST,ATSI,420.651,2024-01-01 05:00:00,"(1, 1)",Monday,-2.340048077511479
170,1/1/24 5:00,PE,MIDATL,PE,3762.679,2024-01-01 05:00:00,"(1, 1)",Monday,-1.396562955284029
171,1/1/24 5:00,PEPCO,MIDATL,PEP,2372.472,2024-01-01 05:00:00,"(1, 1)",Monday,-1.1298709205269604
172,1/1/24 5:00,PLCO,MIDATL,PL,3850.813,2024-01-01 05:00:00,"(1, 1)",Monday,-1.8732513360446417
173,1/1/24 5:00,PN,MIDATL,PN,1577.998,2024-01-01 05:00:00,"(1, 1)",Monday,-2.113210395888522
174,1/1/24 5:00,PS,MIDATL,PS,3974.311,2024-01-01 05:00:00,"(1, 1)",Monday,-1.565160599840782
175,1/1/24 5:00,RECO,MIDATL,RECO,125.52,2024-01-01 05:00:00,"(1, 1)",Monday,-1.4973106155600013
176,1/1/24 5:00,SMECO,MIDATL,PEP,442.658,2024-01-01 05:00:00,"(1, 1)",Monday,-0.333169139574269
